"#","Reference","Qty","Value","Footprint","DNP"
"1","C301, C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C420, C421, C422, C423, C424, C901, C902, C903, C904","29","C","",""
"2","C1001, C1003, C11002, C11005","4","1u","",""
"3","C1002, C1004, C1005, C1006, C1007, C1008, C1009, C1010, C1011, C11001, C11003, C11004, C11006, C11007, C11008, C11009, C11010, C11011, C11012, C11013, C11014","21","100n","",""
"4","D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D250, D251, D252","52","LED_RGB","",""
"5","D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329, D330, D331, D332, D333, D334, D335, D336, D337, D338, D339, D340","40","1N4148","",""
"6","D601, D602, D701, D702, D801, D802","6","D_Zener_Filled","",""
"7","D1001, D1002","2","D_TVS_Filled","",""
"8","J501, J601, J701, J801","4","USB_C_Receptacle","",""
"9","J1001","1","Conn_01x04_Pin","",""
"10","L901, L902","2","L","",""
"11","R301, R302, R1001","3","10k","",""
"12","R303, R304, R305, R306, R307, R308, R309, R1002, R1003, R1007, R1008, R1009, R1010","13","2.2k","",""
"13","R401, R402, R403, R406, R901, R902","6","100k","",""
"14","R404, R405, R407","3","22k","",""
"15","R903, R904, R905, R906","4","R_US","",""
"16","R907, R908, R1006, R11001","4","1k","",""
"17","R1004, R1005","2","27.4","",""
"18","SW301, SW302, SW303, SW304, SW305, SW306, SW307, SW308, SW309, SW310, SW311, SW312, SW313, SW314, SW315, SW316, SW317, SW318, SW319, SW320, SW321, SW322, SW323, SW324, SW325, SW326, SW327, SW328, SW329, SW330, SW331, SW332, SW333, SW334, SW335, SW336, SW337, SW338, SW339, SW340, SW341, SW342, SW1001, SW1002","44","SW_Push","",""
"19","U301","1","MCP23017_ML","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",""
"20","U401, U402, U403","3","IS31FL3736","Package_DFN_QFN:QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm",""
"21","U501, U610, U710, U810","4","LM73100","",""
"22","U502, U611, U711, U811","4","TPS25947xx","",""
"23","U503, U504, U505, U506, U507, U508, U601, U602, U603, U604, U605, U606, U701, U702, U703, U704, U705, U706, U801, U802, U803, U804, U805, U806","24","ECMF02-2AMX6","Package_DFN_QFN:ST_UQFN-6L_1.5x1.7mm_P0.5mm",""
"24","U509","1","CYPD3177-24LQ","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm",""
"25","U510, U609, U709, U809","4","PI3USB221E","",""
"26","U511, U607, U707, U807","4","CBTL02043A","Package_DFN_QFN:WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm",""
"27","U608, U708, U808","3","TUSB320","Package_DFN_QFN:Texas_X2QFN-12_1.6x1.6mm_P0.4mm",""
"28","U901, U902","2","AP3401","",""
"29","U1001","1","AT25xxx-MA","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm",""
"30","U1002","1","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",""
"31","U11001","1","TUSB8041","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias",""
"32","Y1001, Y11001","2","Crystal_GND24","",""
